timestamped_line
"[16:17:43] Ready. Type 's' to start logging, 'e' to stop."
[16:17:43] Sensor Info:
[16:17:43] Sensor ID: 50
[16:17:43] Sensor Name: FORCE PLATE 850
[16:17:43] Units: N
[16:17:43] ▶️ START LOGGING
"[16:17:43] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:18:10] 31.04, Force(N): 22.676, ΔF(N): 1.011, FSR1: 788, FSR2: 1023, FSR3: 1023"
"[16:18:10] 31.26, Force(N): 24.697, ΔF(N): 2.021, FSR1: 742, FSR2: 1023, FSR3: 1023"
"[16:18:10] 31.37, Force(N): 25.708, ΔF(N): 1.011, FSR1: 718, FSR2: 1023, FSR3: 1023"
"[16:18:10] 31.48, Force(N): 26.719, ΔF(N): 1.011, FSR1: 703, FSR2: 1023, FSR3: 1023"
"[16:18:11] 31.79, Force(N): 28.740, ΔF(N): 2.021, FSR1: 657, FSR2: 1023, FSR3: 1023"
"[16:18:11] 32.01, Force(N): 29.751, ΔF(N): 1.011, FSR1: 637, FSR2: 1023, FSR3: 1023"
"[16:18:11] 32.12, Force(N): 31.772, ΔF(N): 2.021, FSR1: 629, FSR2: 1023, FSR3: 1023"
"[16:18:11] 32.33, Force(N): 33.794, ΔF(N): 2.021, FSR1: 628, FSR2: 1023, FSR3: 1023"
"[16:18:11] 32.54, Force(N): 36.826, ΔF(N): 3.032, FSR1: 586, FSR2: 1023, FSR3: 1023"
"[16:18:11] 32.66, Force(N): 37.837, ΔF(N): 1.011, FSR1: 576, FSR2: 1023, FSR3: 1023"
"[16:18:12] 32.87, Force(N): 38.848, ΔF(N): 1.011, FSR1: 551, FSR2: 1023, FSR3: 1023"
"[16:18:12] 33.08, Force(N): 39.858, ΔF(N): 1.011, FSR1: 525, FSR2: 1023, FSR3: 1023"
"[16:18:12] 33.30, Force(N): 40.869, ΔF(N): 1.011, FSR1: 518, FSR2: 1023, FSR3: 1023"
"[16:18:12] 33.61, Force(N): 41.880, ΔF(N): 1.011, FSR1: 478, FSR2: 1023, FSR3: 1023"
"[16:18:13] 33.82, Force(N): 42.891, ΔF(N): 1.011, FSR1: 466, FSR2: 1023, FSR3: 1023"
"[16:18:13] 33.94, Force(N): 43.901, ΔF(N): 1.011, FSR1: 461, FSR2: 1023, FSR3: 1023"
"[16:18:13] 34.05, Force(N): 41.880, ΔF(N): -2.021, FSR1: 459, FSR2: 1023, FSR3: 1023"
"[16:18:13] 34.16, Force(N): 39.858, ΔF(N): -2.021, FSR1: 512, FSR2: 1023, FSR3: 1023"
"[16:18:13] 34.27, Force(N): 35.815, ΔF(N): -4.043, FSR1: 610, FSR2: 1023, FSR3: 1023"
"[16:18:13] 34.39, Force(N): 32.783, ΔF(N): -3.032, FSR1: 623, FSR2: 1023, FSR3: 1023"
"[16:18:13] 34.50, Force(N): 31.772, ΔF(N): -1.011, FSR1: 627, FSR2: 1023, FSR3: 1023"
"[16:18:13] 34.61, Force(N): 27.729, ΔF(N): -4.043, FSR1: 668, FSR2: 1023, FSR3: 1022"
"[16:18:13] 34.72, Force(N): 26.719, ΔF(N): -1.011, FSR1: 717, FSR2: 1023, FSR3: 1023"
"[16:18:14] 34.84, Force(N): 25.708, ΔF(N): -1.011, FSR1: 732, FSR2: 1023, FSR3: 1023"
"[16:18:14] 34.95, Force(N): 22.676, ΔF(N): -3.032, FSR1: 789, FSR2: 1023, FSR3: 1023"
"[16:18:14] 35.06, Force(N): 21.665, ΔF(N): -1.011, FSR1: 796, FSR2: 1023, FSR3: 1023"
"[16:18:14] 35.28, Force(N): 20.654, ΔF(N): -1.011, FSR1: 806, FSR2: 1023, FSR3: 1023"
