timestamped_line
"[15:48:25] Ready. Type 's' to start logging, 'e' to stop."
[15:48:25] Sensor Info:
[15:48:25] Sensor ID: 50
[15:48:25] Sensor Name: FORCE PLATE 850
[15:48:25] Units: N
[15:48:25] ▶️ START LOGGING
"[15:48:25] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:48:49] 28.29, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 641"
"[15:48:50] 28.71, Force(N): 42.891, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 638"
"[15:48:50] 28.92, Force(N): 43.901, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 638"
"[15:48:50] 29.13, Force(N): 42.891, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 635"
"[15:48:50] 29.25, Force(N): 43.901, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 633"
"[15:48:50] 29.36, Force(N): 42.891, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 631"
"[15:48:51] 29.68, Force(N): 43.901, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 629"
"[15:48:51] 29.79, Force(N): 42.891, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 634"
"[15:48:51] 30.30, Force(N): 43.901, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 630"
"[15:48:51] 30.42, Force(N): 42.891, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 629"
"[15:48:52] 30.63, Force(N): 44.912, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 623"
"[15:48:52] 30.74, Force(N): 45.923, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 623"
"[15:48:52] 30.85, Force(N): 46.934, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 615"
"[15:48:52] 30.97, Force(N): 45.923, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 609"
"[15:48:52] 31.08, Force(N): 46.934, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 613"
"[15:48:52] 31.29, Force(N): 45.923, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 620"
"[15:48:52] 31.41, Force(N): 39.858, ΔF(N): -6.064, FSR1: 1023, FSR2: 1023, FSR3: 651"
"[15:48:53] 31.52, Force(N): 36.826, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 680"
"[15:48:53] 31.63, Force(N): 32.783, ΔF(N): -4.043, FSR1: 1022, FSR2: 1023, FSR3: 720"
"[15:48:53] 31.75, Force(N): 29.751, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 728"
"[15:48:53] 31.86, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 736"
"[15:48:53] 31.97, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 735"
"[15:48:53] 32.08, Force(N): 25.708, ΔF(N): -2.021, FSR1: 1023, FSR2: 1022, FSR3: 750"
"[15:48:53] 32.30, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 777"
"[15:48:54] 32.51, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 808"
"[15:48:54] 32.62, Force(N): 22.676, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 822"
"[15:48:54] 32.74, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 833"
"[15:48:54] 32.85, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 847"
"[15:48:54] 32.96, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 872"
"[15:48:54] 33.07, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 908"
"[15:48:54] 33.29, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 962"
"[15:48:54] 33.40, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 966"
"[15:48:55] 33.71, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:48:55] 33.83, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:48:55] 34.04, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[15:48:55] 34.36, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:48:56] 34.47, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:48:56] 34.69, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:48:56] 34.90, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:48:56] 35.01, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:48:56] 35.23, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:48:56] 35.34, Force(N): 21.665, ΔF(N): -2.021, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[15:48:56] 35.46, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:48:57] 36.07, Force(N): 24.697, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 801"
"[15:48:58] 36.49, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 694"
"[15:48:58] 36.70, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 698"
"[15:48:58] 37.02, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 691"
"[15:48:58] 37.23, Force(N): 29.751, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 688"
