timestamped_line
"[14:53:49] Ready. Type 's' to start logging, 'e' to stop."
[14:53:49] Sensor Info:
[14:53:49] Sensor ID: 50
[14:53:49] Sensor Name: FORCE PLATE 850
[14:53:49] Units: N
[14:53:49] ▶️ START LOGGING
"[14:53:49] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[14:54:27] 41.37, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:27] 41.48, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[14:54:27] 41.60, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:27] 41.81, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:27] 41.92, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:28] 42.44, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[14:54:28] 42.56, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:28] 42.87, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:28] 42.99, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[14:54:28] 43.10, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[14:54:28] 43.21, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:29] 43.43, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:29] 43.54, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:29] 43.96, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:29] 44.07, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[14:54:30] 44.28, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:30] 44.40, Force(N): 32.783, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:30] 44.61, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
