timestamped_line
"[15:33:07] Ready. Type 's' to start logging, 'e' to stop."
[15:33:07] Sensor Info:
[15:33:07] Sensor ID: 50
[15:33:07] Sensor Name: FORCE PLATE 850
[15:33:07] Units: N
[15:33:07] ▶️ START LOGGING
"[15:33:07] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:33:42] 38.75, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 422"
"[15:33:42] 38.86, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 420"
"[15:33:42] 39.07, Force(N): 42.891, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 414"
"[15:33:43] 39.49, Force(N): 41.880, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 409"
"[15:33:43] 39.60, Force(N): 43.901, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 409"
"[15:33:43] 39.71, Force(N): 42.891, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 409"
"[15:33:43] 39.82, Force(N): 41.880, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 410"
"[15:33:43] 40.04, Force(N): 38.848, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 413"
"[15:33:43] 40.15, Force(N): 33.794, ΔF(N): -5.054, FSR1: 1023, FSR2: 1023, FSR3: 416"
"[15:33:43] 40.26, Force(N): 29.751, ΔF(N): -4.043, FSR1: 1023, FSR2: 1023, FSR3: 422"
"[15:33:43] 40.38, Force(N): 26.719, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 426"
"[15:33:44] 40.49, Force(N): 24.697, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 435"
"[15:33:44] 40.60, Force(N): 22.676, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 443"
"[15:33:44] 40.72, Force(N): 20.654, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 450"
"[15:33:44] 40.83, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 462"
"[15:33:44] 41.14, Force(N): 17.622, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 554"
"[15:33:44] 41.26, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 659"
"[15:33:45] 41.47, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 930"
"[15:33:45] 41.58, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:33:45] 42.00, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:33:45] 42.11, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:33:45] 42.22, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:33:45] 42.34, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:33:46] 42.45, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:33:46] 42.56, Force(N): 19.644, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:33:46] 42.78, Force(N): 17.622, ΔF(N): -2.021, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[15:33:46] 42.89, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:33:46] 43.01, Force(N): 18.633, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:47] 43.63, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:47] 43.74, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:47] 43.96, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:47] 44.07, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:47] 44.28, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
